집단,변수명,변수 라벨,코드,범주,N,비율(%)
전체,gender,성별,1,Man,5132,47.47
전체,gender,성별,2,Woman,5660,52.35
전체,gender,성별,3,None of the above / Non-binary / Prefer not to say,19,0.18
전체,occupation_code,직업 유형,10,Employed professional,762,7.05
전체,occupation_code,직업 유형,11,General management / director / top management,310,2.87
전체,occupation_code,직업 유형,12,Middle management / other management,1787,16.53
전체,occupation_code,직업 유형,13,Working mainly at a desk,2426,22.44
전체,occupation_code,직업 유형,14,Not at a desk but travelling,941,8.7
전체,occupation_code,직업 유형,15,Service job,1579,14.61
전체,occupation_code,직업 유형,16,Supervisor,309,2.86
전체,occupation_code,직업 유형,17,Skilled manual worker,2193,20.28
전체,occupation_code,직업 유형,18,Other employed manual worker,504,4.66
전체,workplace_size,조직 규모,1,1,257,2.39
전체,workplace_size,조직 규모,2,2-9,2589,24.1
전체,workplace_size,조직 규모,3,10-49,4203,39.13
전체,workplace_size,조직 규모,4,50-250,2271,21.14
전체,workplace_size,조직 규모,5,More than 250,1421,13.23
비공공부문,gender,성별,1,Man,4083,51.57
비공공부문,gender,성별,2,Woman,3820,48.25
비공공부문,gender,성별,3,None of the above / Non-binary / Prefer not to say,14,0.18
비공공부문,occupation_code,직업 유형,10,Employed professional,478,6.04
비공공부문,occupation_code,직업 유형,11,General management / director / top management,197,2.49
비공공부문,occupation_code,직업 유형,12,Middle management / other management,971,12.26
비공공부문,occupation_code,직업 유형,13,Working mainly at a desk,1671,21.11
비공공부문,occupation_code,직업 유형,14,Not at a desk but travelling,875,11.05
비공공부문,occupation_code,직업 유형,15,Service job,1032,13.04
비공공부문,occupation_code,직업 유형,16,Supervisor,270,3.41
비공공부문,occupation_code,직업 유형,17,Skilled manual worker,1995,25.2
비공공부문,occupation_code,직업 유형,18,Other employed manual worker,428,5.41
비공공부문,workplace_size,조직 규모,1,1,212,2.69
비공공부문,workplace_size,조직 규모,2,2-9,2235,28.4
비공공부문,workplace_size,조직 규모,3,10-49,3112,39.54
비공공부문,workplace_size,조직 규모,4,50-250,1476,18.75
비공공부문,workplace_size,조직 규모,5,More than 250,835,10.61
공공부문,gender,성별,1,Man,1049,36.25
공공부문,gender,성별,2,Woman,1840,63.58
공공부문,gender,성별,3,None of the above / Non-binary / Prefer not to say,5,0.17
공공부문,occupation_code,직업 유형,10,Employed professional,284,9.81
공공부문,occupation_code,직업 유형,11,General management / director / top management,113,3.9
공공부문,occupation_code,직업 유형,12,Middle management / other management,816,28.2
공공부문,occupation_code,직업 유형,13,Working mainly at a desk,755,26.09
공공부문,occupation_code,직업 유형,14,Not at a desk but travelling,66,2.28
공공부문,occupation_code,직업 유형,15,Service job,547,18.9
공공부문,occupation_code,직업 유형,16,Supervisor,39,1.35
공공부문,occupation_code,직업 유형,17,Skilled manual worker,198,6.84
공공부문,occupation_code,직업 유형,18,Other employed manual worker,76,2.63
공공부문,workplace_size,조직 규모,1,1,45,1.57
공공부문,workplace_size,조직 규모,2,2-9,354,12.33
공공부문,workplace_size,조직 규모,3,10-49,1091,38.0
공공부문,workplace_size,조직 규모,4,50-250,795,27.69
공공부문,workplace_size,조직 규모,5,More than 250,586,20.41
