국가,비공공부문 N,공공부문 N,전체 N,공공부문 비율(%)
AT,370,125,495,25.25
BE,268,127,395,32.15
BG,326,87,413,21.07
CY,158,68,226,30.09
CZ,379,111,490,22.65
DE,614,125,739,16.91
DK,212,174,386,45.08
EE,319,86,405,21.23
ES,322,83,405,20.49
FI,196,147,343,42.86
FR,277,108,385,28.05
GR,276,52,328,15.85
HR,405,155,560,27.68
HU,453,84,537,15.64
IE,276,113,389,29.05
IT,296,94,390,24.1
LT,240,76,316,24.05
LU,115,136,251,54.18
LV,280,93,373,24.93
MT,98,71,169,42.01
NL,183,111,294,37.76
PL,376,76,452,16.81
PT,286,73,359,20.33
RO,455,87,542,16.05
SE,171,193,364,53.02
SI,238,107,345,31.01
SK,328,132,460,28.7
