결과변수,결과변수 라벨,모형,회귀식,표본 N,국가 수,공공부문 N,비공공부문 N,공분산 추정
detailed_explanation,상세 설명 제공,Model 1,detailed_explanation ~ public_sector + C(country_fe),10811,27,2894,7917,Cluster-robust SE by country
detailed_explanation,상세 설명 제공,Model 2,detailed_explanation ~ public_sector + C(country_fe) + age + C(gender) + education_age + C(occupation_code) + C(workplace_size) + digital_skill_job,9719,27,2661,7058,Cluster-robust SE by country
detailed_explanation,상세 설명 제공,Model 3,detailed_explanation ~ public_sector + C(country_fe) + age + C(gender) + education_age + C(occupation_code) + C(workplace_size) + digital_skill_job + automated_monitoring_exposure + automated_performance_management_exposure,9169,27,2492,6677,Cluster-robust SE by country
personal_data_access,개인정보 접근권 제공,Model 1,personal_data_access ~ public_sector + C(country_fe),10811,27,2894,7917,Cluster-robust SE by country
personal_data_access,개인정보 접근권 제공,Model 2,personal_data_access ~ public_sector + C(country_fe) + age + C(gender) + education_age + C(occupation_code) + C(workplace_size) + digital_skill_job,9719,27,2661,7058,Cluster-robust SE by country
personal_data_access,개인정보 접근권 제공,Model 3,personal_data_access ~ public_sector + C(country_fe) + age + C(gender) + education_age + C(occupation_code) + C(workplace_size) + digital_skill_job + automated_monitoring_exposure + automated_performance_management_exposure,9169,27,2492,6677,Cluster-robust SE by country
automated_analysis_access,자동화 분석 결과 접근권 제공,Model 1,automated_analysis_access ~ public_sector + C(country_fe),10811,27,2894,7917,Cluster-robust SE by country
automated_analysis_access,자동화 분석 결과 접근권 제공,Model 2,automated_analysis_access ~ public_sector + C(country_fe) + age + C(gender) + education_age + C(occupation_code) + C(workplace_size) + digital_skill_job,9719,27,2661,7058,Cluster-robust SE by country
automated_analysis_access,자동화 분석 결과 접근권 제공,Model 3,automated_analysis_access ~ public_sector + C(country_fe) + age + C(gender) + education_age + C(occupation_code) + C(workplace_size) + digital_skill_job + automated_monitoring_exposure + automated_performance_management_exposure,9169,27,2492,6677,Cluster-robust SE by country
not_informed,기술 사용 사실 무고지,Model 1,not_informed ~ public_sector + C(country_fe),10811,27,2894,7917,Cluster-robust SE by country
not_informed,기술 사용 사실 무고지,Model 2,not_informed ~ public_sector + C(country_fe) + age + C(gender) + education_age + C(occupation_code) + C(workplace_size) + digital_skill_job,9719,27,2661,7058,Cluster-robust SE by country
not_informed,기술 사용 사실 무고지,Model 3,not_informed ~ public_sector + C(country_fe) + age + C(gender) + education_age + C(occupation_code) + C(workplace_size) + digital_skill_job + automated_monitoring_exposure + automated_performance_management_exposure,9169,27,2492,6677,Cluster-robust SE by country
basic_notification_only,단순 고지,Model 1,basic_notification_only ~ public_sector + C(country_fe),10811,27,2894,7917,Cluster-robust SE by country
basic_notification_only,단순 고지,Model 2,basic_notification_only ~ public_sector + C(country_fe) + age + C(gender) + education_age + C(occupation_code) + C(workplace_size) + digital_skill_job,9719,27,2661,7058,Cluster-robust SE by country
basic_notification_only,단순 고지,Model 3,basic_notification_only ~ public_sector + C(country_fe) + age + C(gender) + education_age + C(occupation_code) + C(workplace_size) + digital_skill_job + automated_monitoring_exposure + automated_performance_management_exposure,9169,27,2492,6677,Cluster-robust SE by country
