Parameter,Beta,SE,OR,OR 95% CI lower,OR 95% CI upper,p-value,p-value label,Significance
Intercept,-1.32664,0.23856,0.265,0.166,0.424,2.6809255243086598e-08,< .001,***
C(occupation_code)[T.11],0.38858,0.20117,1.475,0.994,2.188,0.05340922977526982,0.053,
C(occupation_code)[T.12],0.21876,0.14484,1.245,0.937,1.653,0.13094194307604795,0.131,
C(occupation_code)[T.13],-0.22064,0.14297,0.802,0.606,1.061,0.12276725806745128,0.123,
C(occupation_code)[T.14],-0.24164,0.18492,0.785,0.547,1.128,0.19130385200568356,0.191,
C(occupation_code)[T.15],-0.21618,0.19297,0.806,0.552,1.176,0.26259928520671627,0.263,
C(occupation_code)[T.16],-0.36228,0.24848,0.696,0.428,1.133,0.1448477798049049,0.145,
C(occupation_code)[T.17],-0.45847,0.15904,0.632,0.463,0.864,0.003942373679026311,0.004,**
C(occupation_code)[T.18],-1.083,0.22586,0.339,0.217,0.527,1.6262471329565269e-06,< .001,***
C(country_fe)[T.BE],-0.63523,0.02829,0.53,0.501,0.56,1.1396652960493949e-111,< .001,***
C(country_fe)[T.BG],-0.42015,0.02462,0.657,0.626,0.689,2.5634138697809395e-65,< .001,***
C(country_fe)[T.CY],-0.74765,0.02373,0.473,0.452,0.496,6.364150858537357e-218,< .001,***
C(country_fe)[T.CZ],-1.36624,0.02307,0.255,0.244,0.267,0.0,< .001,***
C(country_fe)[T.DE],-0.58375,0.01719,0.558,0.539,0.577,6.873194635671615e-253,< .001,***
C(country_fe)[T.DK],-1.24159,0.05259,0.289,0.261,0.32,3.252960327947604e-123,< .001,***
C(country_fe)[T.EE],-0.87084,0.02102,0.419,0.402,0.436,0.0,< .001,***
C(country_fe)[T.ES],-1.02162,0.02932,0.36,0.34,0.381,4.855270081968809e-266,< .001,***
C(country_fe)[T.FI],-1.08576,0.04395,0.338,0.31,0.368,9.944539743103627e-135,< .001,***
C(country_fe)[T.FR],-1.26119,0.02547,0.283,0.27,0.298,0.0,< .001,***
C(country_fe)[T.GR],-1.59797,0.03041,0.202,0.191,0.215,0.0,< .001,***
C(country_fe)[T.HR],-0.80929,0.02552,0.445,0.423,0.468,9.569108333533005e-221,< .001,***
C(country_fe)[T.HU],-0.16726,0.02196,0.846,0.81,0.883,2.6055690210409516e-14,< .001,***
C(country_fe)[T.IE],-0.67285,0.02842,0.51,0.483,0.539,7.0771456918133385e-124,< .001,***
C(country_fe)[T.IT],-0.49134,0.02319,0.612,0.585,0.64,1.343261599349523e-99,< .001,***
C(country_fe)[T.LT],-0.93012,0.02497,0.395,0.376,0.414,9.25926026011154e-304,< .001,***
C(country_fe)[T.LU],-0.9264,0.04215,0.396,0.365,0.43,4.7563983470471566e-107,< .001,***
C(country_fe)[T.LV],-1.19979,0.02358,0.301,0.288,0.316,0.0,< .001,***
C(country_fe)[T.MT],-1.35499,0.03673,0.258,0.24,0.277,6.857066029834787e-298,< .001,***
C(country_fe)[T.NL],-1.42754,0.0498,0.24,0.218,0.264,1.0761288409755373e-180,< .001,***
C(country_fe)[T.PL],-0.55687,0.0265,0.573,0.544,0.604,4.743419814986363e-98,< .001,***
C(country_fe)[T.PT],-0.65321,0.02124,0.52,0.499,0.542,1.1740081771069601e-207,< .001,***
C(country_fe)[T.RO],-0.8329,0.02608,0.435,0.413,0.458,9.597267628206035e-224,< .001,***
C(country_fe)[T.SE],-0.93145,0.05276,0.394,0.355,0.437,9.34759828882259e-70,< .001,***
C(country_fe)[T.SI],-0.49658,0.02304,0.609,0.582,0.637,4.625859759345679e-103,< .001,***
C(country_fe)[T.SK],-0.39126,0.02234,0.676,0.647,0.706,1.0911778712879563e-68,< .001,***
C(gender)[T.2],0.1043,0.04777,1.11,1.011,1.219,0.028996671051391847,0.029,*
C(gender)[T.3],1.02615,0.55551,2.79,0.939,8.289,0.06471492518367385,0.065,
C(workplace_size)[T.2],-0.42042,0.23221,0.657,0.417,1.035,0.07021307925603457,0.070,
C(workplace_size)[T.3],-0.17606,0.23366,0.839,0.53,1.326,0.45115658373486545,0.451,
C(workplace_size)[T.4],-0.0554,0.23793,0.946,0.593,1.508,0.815879833736838,0.816,
C(workplace_size)[T.5],-0.16316,0.22586,0.849,0.546,1.323,0.47006046843232696,0.470,
public_sector,-0.22668,0.19647,0.797,0.542,1.172,0.2485881344215084,0.249,
public_sector:C(occupation_code)[T.11],-0.77084,0.40749,0.463,0.208,1.028,0.058534387965541494,0.059,
public_sector:C(occupation_code)[T.12],-0.28629,0.24015,0.751,0.469,1.202,0.23320747108773532,0.233,
public_sector:C(occupation_code)[T.13],0.23585,0.23632,1.266,0.797,2.012,0.3182867792361803,0.318,
public_sector:C(occupation_code)[T.14],0.13014,0.36946,1.139,0.552,2.35,0.7246597340667891,0.725,
public_sector:C(occupation_code)[T.15],0.22885,0.26892,1.257,0.742,2.13,0.3947676343757791,0.395,
public_sector:C(occupation_code)[T.16],-0.30076,0.45864,0.74,0.301,1.819,0.5119678389250437,0.512,
public_sector:C(occupation_code)[T.17],0.07481,0.31779,1.078,0.578,2.009,0.8138944782764488,0.814,
public_sector:C(occupation_code)[T.18],-0.00212,0.59148,0.998,0.313,3.181,0.9971442734425587,0.997,
age,-0.00311,0.00232,0.997,0.992,1.001,0.18100965028506488,0.181,
education_age,-0.00402,0.00652,0.996,0.983,1.009,0.5377090816308525,0.538,
digital_skill_job,0.43896,0.05289,1.551,1.398,1.721,1.0499531933572227e-16,< .001,***
