Occupation code,Occupation label,Public N,Non-public N,Public occupation share,Non-public occupation share,Pooled occupation share,m_public (standardised probability),m_non-public (standardised probability),Within-occupation difference (public - non-public)
10,"Employed professional (employed doctor, etc.)",265,451,0.09958662157083803,0.06389912156418248,0.07367013067187983,0.22713172556943084,0.26785959146440225,-0.040727865894971405
11,"General management, etc.",110,189,0.04133784291619692,0.026778124114480023,0.030764481942586686,0.1617886034318484,0.3345423676644901,-0.1727537642326417
12,"Middle management, etc.",787,917,0.2957534761367907,0.12992349107395862,0.17532667969955756,0.21342670413768977,0.30706326095046427,-0.0936365568127745
13,"Employed position, at desk",703,1542,0.26418639609169486,0.2184754888070275,0.230990842679288,0.2215216354866707,0.2200073785854654,0.0015142569012052964
14,"Employed position, travelling",55,776,0.02066892145809846,0.1099461603853783,0.08550262372672085,0.18173098696236978,0.19588988136455202,-0.014158894402182237
15,"Employed position, service job",493,902,0.1852686959789553,0.12779824312836496,0.1435332853174195,0.20954036234431278,0.20919714582087007,0.00034321652344271314
16,Supervisor,34,234,0.012777151446824501,0.03315386795126098,0.027574853379977365,0.11910428070117575,0.1833980106420071,-0.06429372994083134
17,Skilled manual worker,160,1723,0.06012777151446824,0.24412014735052423,0.19374421236752754,0.1493681942548854,0.16890188165091563,-0.01953368739603023
18,"Unskilled manual worker, etc.",54,324,0.020293122886133032,0.0459053556248229,0.0388928902150427,0.07525259913375806,0.09236789895477104,-0.01711529982101298
