Outcome,Seed,Bootstrap replications,Restricted model converged,WCLR-C p,WCLR-S p,Status
detailed_explanation,20260630.0,9999,True,0.014501450145014501,0.014301430143014302,Valid
detailed_explanation,20260701.0,9999,True,0.014701470147014702,0.014701470147014702,Valid
detailed_explanation,20260702.0,9999,True,0.015101510151015102,0.015101510151015102,Valid
personal_data_access,20260630.0,9999,True,0.6643664366436643,0.6648664866486649,Valid
personal_data_access,20260701.0,9999,True,0.6595659565956595,0.6596659665966597,Valid
personal_data_access,20260702.0,9999,True,0.6686668666866686,0.6678667866786678,Valid
automated_analysis_access,,9999,False,,,Skipped: restricted logit did not converge.
not_informed,20260630.0,9999,True,0.021702170217021702,0.021902190219021903,Valid
not_informed,20260701.0,9999,True,0.019201920192019203,0.0187018701870187,Valid
not_informed,20260702.0,9999,True,0.0184018401840184,0.018201820182018203,Valid
